s_no,financial_year,insurer,product_name,type_of_product,uin,date_of_approval,document_url,document_filename,local_file_path,r2_url,archive_status,scraped_at
GEN4734,GEN4734,SBI General Insurance Company Limited,Enhanced PA Cover for Paid Driver,Add-on,IRDAN144RP0002V02201112/A0046V01202122,09-08-2021,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0002V02201112A0046V01202122.pdf/db2177ba-2197-17f1-0a21-3f7044207087?version=1.1&t=1668876527187&download=true,IRDAN144RP0002V02201112A0046V01202122.pdf,,https://insurance-data.r2.dev/nonlife/GEN4734/SBI-General-Insurance-Company-Limited/IRDAN144RP0002V02201112-A0046V01202122_Enhanced-PA-Cover-for-Paid-Driver.pdf,Non-Archived,2025-12-01T02:55:22.196571
GEN5125,2022-2023,Future Generali India Insurance Company Limited,Future Secure Two Wheeler Package Policy,Main Product,IRDAN132RP0016V02200708,24-05-2022,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0016V02200708.pdf/71314d83-5bea-0c99-f4e7-ff2f3d45c4f7?version=1.0&t=1675765946316&download=true,IRDAN132RP0016V02200708.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Future-Generali-India-Insurance-Company-Limited/IRDAN132RP0016V02200708_Future-Secure-Two-Wheeler-Package-Policy.pdf,Non-Archived,2025-12-01T02:55:22.196718
GEN5182,2022-2023,Future Generali India Insurance Company Limited,Public Liability Policy- Industrial Risks,Main Product,IRDAN132RP0018V01202223,13-06-2022,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0018V01202223.pdf/d572580c-1ffd-4dfc-01d3-a5975748b76c?version=1.0&t=1675766062919&download=true,IRDAN132RP0018V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Future-Generali-India-Insurance-Company-Limited/IRDAN132RP0018V01202223_Public-Liability-Policy-Industrial-Risks.pdf,Non-Archived,2025-12-01T02:55:22.196841
GEN5183,2022-2023,Future Generali India Insurance Company Limited,Products Liability Insurance,Main Product,IRDAN132RP0019V01202223,13-06-2022,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0019V01202223.pdf/d9b271c1-11db-434f-3bb5-2cbef6097937?version=1.0&t=1675766182617&download=true,IRDAN132RP0019V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Future-Generali-India-Insurance-Company-Limited/IRDAN132RP0019V01202223_Products-Liability-Insurance.pdf,Non-Archived,2025-12-01T02:55:22.196960
GEN5184,2022-2023,Future Generali India Insurance Company Limited,Public Liability Act Insurance,Main Product,IRDAN132RP0020V01202223,13-06-2022,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0020V01202223.pdf/d85d39b5-3a83-735a-94ed-2fb3fc966f67?version=1.0&t=1675766347488&download=true,IRDAN132RP0020V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Future-Generali-India-Insurance-Company-Limited/IRDAN132RP0020V01202223_Public-Liability-Act-Insurance.pdf,Non-Archived,2025-12-01T02:55:22.197078
GEN5085,2022-2023,Universal Sompo General Insurance Co. Ltd.,Cattle Insurance Policy,Main Product,IRDAN134RP0001V02200809,27-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0001V02200809.pdf/7f828afd-689f-e879-823b-b1b10ff929cf?version=1.0&t=1675766473581&download=true,IRDAN134RP0001V02200809.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0001V02200809_Cattle-Insurance-Policy.pdf,Non-Archived,2025-12-01T02:55:22.197193
GEN5187,2022-2023,यूनिवर्सल सोम्पो जनरल इंश्योरेंस सीओ. एलटीडी।,साइबर इंश्योरेंस पॉलिसी- रिटेल,मुख्य उत्पाद,IRDAN134RP0019V01202223,06-07-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0019V01202223.pdf/8cf8c42e-9c2b-8303-b6b6-9c086ee591d8?version=1.0&t=1675766684891&download=true,IRDAN134RP0019V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/यूनिवर्सल-सोम्पो-जनरल-इंश्योरेंस-सीओ.-एलटीडी।/IRDAN134RP0019V01202223_साइबर-इंश्योरेंस-पॉलिसी-रिटेल.pdf,Non-Archived,2025-12-01T02:55:22.197329
GEN5236,2022-2023,Universal Sompo General Insurance Co. Ltd.,Erection All Risk Insurance,Main Product,IRDAN134RP0020V01202223,26-07-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0020V01202223.pdf/3d4b1e45-faa4-4854-6b63-123c6ba35ef1?version=1.0&t=1675766956147&download=true,IRDAN134RP0020V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0020V01202223_Erection-All-Risk-Insurance.pdf,Non-Archived,2025-12-01T02:55:22.197455
GEN5237,2022-2023,Universal Sompo General Insurance Co. Ltd.,Contractors All Risk Insurance (Retail),Main Product,IRDAN134RP0021V01202223,26-07-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0021V01202223.pdf/f08863f1-677e-e519-edd5-6ef9499318f6?version=1.0&t=1675767141900&download=true,IRDAN134RP0021V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0021V01202223_Contractors-All-Risk-Insurance-(Retail).pdf,Non-Archived,2025-12-01T02:55:22.197574
GEN5238,2022-2023,Universal Sompo General Insurance Co. Ltd.,Machinery Breakdown Insurance Policy - Retail,Main Product,IRDAN134RP0022V01202223,26-07-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0022V01202223.pdf/527bb9af-3f0a-cc02-ff62-01340569af61?version=1.0&t=1675767255733&download=true,IRDAN134RP0022V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0022V01202223_Machinery-Breakdown-Insurance-Policy-Retail.pdf,Non-Archived,2025-12-01T02:55:22.197692
